"TckrSymb","FinInstrmNm"
"HARIAAPL","HARIA APPARELS LTD"
"VASUPRADA","SHRI VASUPRADA PLANTATIONS LIM"
"RNBDENIMS","R&B DENIMS LTD"
"SHARPINV","SHARP INVESTMENTS LTD"
"WONDERLA","WONDERLA HOLIDAYS LTD"
"RESPONSINF","RESPONSE INFORMATICS LTD"
"AFEL","A.F. ENTERPRISES LTD"
"INCREDIBLE","INCREDIBLE INDUSTRIES LIMITED"
"WESTLEIRES","WEST LEISURE RESORTS LTD"
"NAM","NAM SECURITIES LTD"
"METSL","MAESTROS ELECTRONICS & TELECOM"
"JACKSON","JACKSON INVESTMENTS LTD"
"MONEYBOXX","MONEYBOXX FINANCE LIMITED"
"WORTH","WORTH INVESTMENT & TRADING CO"
"TPROJECT","THIRANI PROJECTS LTD"
"AMARSEC","AMARNATH SECURITIES LTD"
"CTL","CAPITAL TRADE LINKS LTD"
"TARINI","TARINI INTERNATIONAL LTD"
"YAANENT","YAAN ENTERPRISES LIMITED"
"ANVRDHI","ANNVRRIDHHI VENTURES LIMITED"
"RLFL","RAMCHANDRA LEASING & FINANCE L"
"BRPL","BANSAL ROOFING PRODUCTS LTD"
"ARMAN","ARMAN HOLDINGS LTD"
"SKIPPER","SKIPPER LTD"
"SMTEL","SMT ENGINEERING LIMITED"
"JAMESWARREN","JAMES WARREN TEA LTD"
"VISTARAMAR","Vistar Amar Limited"
"GULFOILLUB","GULF OIL LUBRICANTS INDIA LTD"
"FRUTION","FRUITION VENTURE LTD"
"TRIVENIENT","TRIVENI ENTERPRISES LTD"
"ZINEMA","ZINEMA MEDIA AND ENTERTAINMENT"
"CEMAINFRA","CEMANTIC INFRA-TECH LIMITED"
"TTIENT","TTI ENTERPRISE LTD"
"VISHAL","VISHAL FABRICS LTD"
"TOYAMSL","TOYAM SPORTS LIMITED"
"GAJANANSEC","GAJANAN SECURITIES SERVICES LT"
"UNISON","UNISON METALS LTD"
"RTFL","Real Touch Finance Limited"
"VRL","VASUNDHARA RASAYANS LTD"
"SNOWMAN","SNOWMAN LOGISTICS LTD"
"QGO","QGO FINANCE LIMITED"
"PURSHOTTAM","PURSHOTTAM INVESTOFIN LTD"
"SHARDACROP","Sharda Cropchem Limited"
"MIIL","Meghna Infracon Infrastructure"
"CITYONLINE","City Online Services Limited"
"SENSEXBEES","NIPPON INDIA ETF SENSEX"
"SHEMAROO","SHEMAROO ENTERTAINMENT LIMITED"
"ULTRACAB","Ultracab (India) Limited"
"RCCL","Rajasthan Cylinders & Containe"
"ETIL","Econo Trade (India) Limited"
"ATISHAY","Atishay Limited"
"SANGAMFIN","Sangam Finserv Limited"
"DHABRIYA","Dhabriya Polywood Limited"
"PDSL","PDS LIMITED"
"VGCL","Vibrant Global Capital Limited"
"CEINSYS","CEINSYS TECH LIMITED"
"PANABYTE","PANABYTE TECHNOLOGIES LIMITED"
"MUDUNURU","Mudunuru Limited"
"CRANEINFRA","Crane Infrastructure Limited"
"NIYOGIN","Niyogin Fintech Limited"
"ASIACAP","ASIA CAPITAL LIMITED"
"KALYANCAP","Kalyan Capitals Limited"
"GBFL","Goenka Business & Finance Limi"
"GILADAFINS","Gilada Finance & Investments L"
"SAPPL","Shree Ajit Pulp And Paper Ltd."
"AANCHALISP","Aanchal Ispat Limited"
"CAPPIPES","Captain Pipes Limited"
"KAIZENAGRO","KAIZEN AGRO INFRABUILD LIMITED"
"JMJFIN","JMJ Fintech Limited"
"INTELLECT","INTELLECT DESIGN ARENA LIMITED"
"MONTECARLO","Monte Carlo Fashions Limited"
"JSTL","Jeevan Scientific Technology L"
"ICL","Indo Cotspin Limited"
"SCC","Scintilla Commercial & Credit"
"PANAFIC","PANAFIC INDUSTRIALS LTD"
"MYMONEY","My Money Securities Ltd."
"CSL","Continental Securities Limited"
"NEXUSSURGL","NEXUS SURGICAL AND MEDICARE LI"
"GALADAFIN","Galada Finance Limited"
"EMERALD","Emerald Finance Limited"
"MKEXIM","M. K. Exim (India) Ltd."
"MCLOUD","MAGELLANIC CLOUD LIMITED"
"OCTAL","Octal Credit Capital Ltd."
"MIHIKA","Mihika Industries Ltd."
"KANCHI","Kanchi Karpooram Ltd."
"DTIL","Dhunseri Tea & Industries Ltd"
"VANICOM","Vani Commercials Limited"
"VINCOFE","VINTAGE COFFEE AND BEVERAGES L"
"COSYN","COSYN Limited"
"SOFCOM","SOFCOM SYSTEMS LIMITED"
"NAPL","Naturite Agro Products Limited"
"KARNAVATI","Karnavati Finance Limited"
"MERCANTILE","Mercantile Ventures Limited"
"ALFL","Abhinav Leasing & Finance Limi"
"GENUSPAPER","GENUS PAPER & BOARDS LIMITED"
"MINDACORP","Minda Corporation Limited"
"MERCURYLAB","Mercury Laboratories Limited"
"CONCORD","Concord Drugs Limited"
"WARDINMOBI","WARDWIZARD INNOVATIONS AND MOB"
"SHREESEC","Shree Securities Ltd."
"GREENLAM","Greenlam Industries Ltd"
"TALBROSENG","TALBROS ENGINEERING LIMITED"
"SAPL","Sar  Auto Products Limited"
"PUROHITCON","Purohit Construction Limited"
"JAYATMA","JAYATMA ENTERPRISES LIMITED"
"PTCIL","PTC Industries Ltd."
"CHENFERRO","CHENNAI FERROUS INDUSTRIES LIM"
"MEGRISOFT","Megri Soft Limited"
"GITARENEW","GITA RENEWABLE ENERGY LIMITED"
"KALPACOMME","Kalpa Commercial Limited"
"ORTEL","Ortel Communications Limited"
"NEIL","Neil Industries Ltd."
"STARHFL","STAR HOUSING FINANCE LIMITED"
"BEEKAY","Beekay Steel Industries Ltd."
"SETFBSE100","SBI Mutual Fund"
"TIRUPATIIN","TIRUPATI INNOVAR LIMITED"
"GANVERSE","GANESHA ECOVERSE LIMITED"
"AGIIL","AGI Infra Limited"
"MANAKSTEEL","Manaksia Steels Limited"
"MANAKALUCO","Manaksia Aluminium Company Ltd"
"MANAKCOAT","Manaksia Coated Metals & Indus"
"IMAGICAA","IMAGICAAWORLD ENTERTAINMENT LI"
"INOXWIND","Inox Wind Limited"
"RAJPUTANA","Rajputana Investment and Finan"
"CCDL","Consecutive Commodities Limite"
"URSUGAR","UR SUGAR INDUSTRIES LIMITED"
"SHESHAINDS","SHESHADRI INDUSTRIES LIMITED"
"SAB","SAB INDUSTRIES LIMITED"
"PML","Paul Merchants Ltd."
"ALANSCOTT","ALAN SCOTT ENTERPRISES LIMITED"
"SUJALA","Sujala Trading & Holding Ltd."
"VRLLOG","VRL Logistics Limited"
"GRAMEVA","GRAMEVA LIMITED"
"PALCO","Palco Metals Limited"
"BODHTREE","Bodhtree Consulting Limited"
"VBIND","V B INDUSTRIES LIMITED"
"SARVOTTAM","Survottam Finvest Ltd."
"MEP","MEP Infrastructure Developers"
"WARDWIZFBL","Wardwizard Foods and Beverages"
"UFO","UFO Moviez India Limited"
"PANTH","PANTH INFINITY LIMITED"
"SHIVALIK","Shivalik Rasayan Ltd."
"ICSL","Integrated Capital Services Lt"
"PNCINFRA","PNC Infratech Limited"
"ARFIN","Arfin India Limited"
"VLL","Virat Leasing Limited"
"HELPAGE","Helpage Finlease Ltd."
"HAWAENG","Hawa Engineers ltd."
"AIIL","Authum Investment & Infrastruc"
"ADHBHUTIN","Adhbhut Infrastructure Ltd."
"POEL","POCL ENTERPRISES LTD"
"AEL","Amba Enterprises Ltd."
"SGFIN","SG FINSERVE LIMITED"
"NOBPOL","NOBLE POLYMERS LIMITED"
"SATIA","SATIA INDUSTRIES LIMITED"
"GVBL","GENOMIC VALLEY BIOTECH LIMITED"
"GARMNTMNTR","GARMENT MANTRA LIFESTYLE LIMIT"
"SRESTHA","Srestha Finvest Limited"
"SAUMYA","Saumya Consultants Ltd."
"MUL","MAURIA UDYOG LIMITED"
"MISHKA","Mishka Exim Limited"
"SPORTKING","Sportking India Ltd."
"GROWINGTON","GROWINGTON VENTURES INDIA LIMI"
"RUDRA","RUDRA GLOBAL INFRA PRODUCTS LI"
"LOYAL","Loyal Equipments Limited"
"GGPL","Gala Global Products Limited"
"BALKRISHNA","Balkrishna Paper Mills Ltd."
"SHYAMCENT","Shyam Century Ferrous Limited"
"ADANIENSOL","Adani Energy Solutions Limited"
"STARDELTA","STAR DELTA TRANSFORMERS LIMITE"
"SAMSRITA","SAMSRITA LABS LIMITED"
"SYNGENE","Syngene International Limited"
"MSL","Mangalam Seeds Limited"
"KAYA","Kaya Limited"
"SYMBIOX","Symbiox Investment & Trading C"
"ORTINGLOBE","ORTIN GLOBAL LIMITED"
"AURUM","Aurum PropTech Limited"
"OSWALGREEN","Oswal Greentech Limited"
"SUNRAKSHAK","SUNRAKSHAKK INDUSTRIES INDIA L"
"ARVSMART","Arvind SmartSpaces Limited"
"POWERMECH","Power Mech Projects Limited"
"RAMASTEEL","Rama Steel Tubes Limited"
"THINKINK","THINKINK PICTUREZ LIMITED"
"SENSEXBETA","UTI BSE Sensex ETF"
"NIFTYBETA","UTI Mutual Fund"
"UNIAUTO","Universal Autofoundry Limited"
"VETO","VETO SWITCHGEARS AND CABLES LI"
"NAVKARCORP","Navkar Corporation Limited"
"SHREEPUSHK","Shree Pushkar Chemicals & Fert"
"CALLISTA","Callista Industries Limited"
"GUJGASLTD","Gujarat Gas Limited"
"WAAREE","WAAREE TECHNOLOGIES LIMITED"
"SADBHIN","Sadbhav Infrastructure Project"
"SALAUTO","SAL AUTOMOTIVE LIMITED"
"POLYSPIN","Polyspin Exports Ltd."
"PRITIKAUTO","Pritika Auto Industries Limite"
"ACME","Acme Resources Limited"
"VISHALBL","Vishal Bearings Limited"
"BELLACASA","Bella Casa Fashion & Retail Li"
"MALLCOM","MALLCOM (INDIA) LTD."
"NAKSH","Naksh Precious Metals Limited"
"SATIN","SATIN CREDITCARE NETWORK LIMIT"
"DITCO","Decorous Investment and Tradin"
"GENCON","Generic Engineering Constructi"
"KUBERJI","Kuber Udyog Limited"
"TEJNAKSH","Tejnaksh Healthcare Limited"
"RFSL","Richfield Financial Services L"
"COFFEEDAY","Coffee Day Enterprises Limited"
"IDFCFIRSTB","IDFC FIRST BANK LIMITED"
"INDIGO","InterGlobe Aviation Limited"
"IGCIL","IGC Industries Limited"
"SHK","S H Kelkar and Company Limited"
"ARYAVAN","ARYAVAN ENTERPRISE LIMITED"
"TFSL","Typhoon Financial Services Lim"
"PANORAMA","PANORAMA STUDIOS INTERNATIONAL"
"SHREEGANES","Shree Ganesh Biotech (India) L"
"GTV","GTV Engineering Limited"
"LICNETFN50","LIC MF EXHGE TRADED FUND-NIFTY"
"LICNETFSEN","LIC MF EXCHNG TRADED FUND-SENS"
"GARBIFIN","Garbi Finvest Limited"
"SMARTFIN","Smart Finsec Limited"
"RAJKOTINV","Rajkot Investment Trust Limite"
"ADCON","Adcon Capital Services Limited"
"QUINT","Quint Digital Limited"
"HDFCNIFTY","HDFC Mutual Fund"
"HDFCSENSEX","HDFC Mutual Fund"
"UDAYJEW","Uday Jewellery Industries Limi"
"SATTVASUKU","SATTVA SUKUN LIFECARE LIMITED"
"GROVY","Grovy India Limited"
"ALKEM","Alkem Laboratories Limited"
"LALPATHLAB","Dr. Lal Pathlabs Limited"
"SCTL","Suncare Traders Limited"
"AAYUSH","AAYUSH WELLNESS LIMITED"
"ELITECON","ELITECON INTERNATIONAL LIMITED"
"LUXIND","LUX Industries Limited"
"ABHIINFRA","Abhishek Infraventures Limited"
"APOORVA","Apoorva Leasing Finance & Inve"
"AGRIBIO","AGRIBIO SPIRITS LIMITED"
"NH","Narayana Hrudayalaya Limited"
"FMEC","F MEC INTERNATIONAL FINANCIAL"
"DEEPAI","Deep Health AI India Limited"
"SUPHA","SUPHA PHARMACHEM LIMITED"
"AARNAV","AARNAV FASHIONS LIMITED"
"SHIVA","Shivansh Finserv Limited"
"MISHTANN","Mishtann Foods Limited"
"DELTA","Delta Industrial Resources Lim"
"CGFL","CREDENT GLOBAL FINANCE LIMITED"
"BLUECLOUDS","Blue Cloud Softech Solutions L"
"KEIL","KANORIA ENERGY & INFRASTRUCTUR"
"PRECAM","Precision Camshafts Limited"
"TEAMLEASE","TeamLease Services Limited"
"KAMATS","VIKRAM KAMATS HOSPITALITY LIMI"
"BESTAGRO","BEST AGROLIFE LIMITED"
"ACEMEN","ACE MEN ENGG WORKS LIMITED"
"BFLAFL","BFL Asset Finvest Limited"
"RGF","RGF Capital Markets Limited"
"RCL","Radhagobind Commercial Limited"
"QUICKHEAL","Quick Heal Technologies Limite"
"KAPILRAJ","Kapil Raj Finance Ltd."
"MOBAVENUE","Mobavenue AI Tech Limited"
"KPEL","K.P. Energy Limited"
"IFINSER","INTERACTIVE FINANCIAL SERVICES"
"HILIKS","HILIKS TECHNOLOGIES LIMITED"
"HYPERSOFT","HYPERSOFT TECHNOLOGIES LIMITED"
"GOKULAGRO","Gokul Agro Resources Ltd"
"FREDUN","Fredun Pharmaceuticals Limited"
"SIMBHALS","Simbhaoli Sugars Ltd"
"RELICAB","Relicab Cable Manufacturing Li"
"VKAL","Vantage Knowledge Academy Limi"
"MEAPL","MODERN ENGINEERING AND PROJECT"
"MNIL","Mega Nirman & Industries Limit"
"DARJEELING","DARJEELING INDUSTRIIES LIMITED"
"ADVIKCA","Advik Capital Limited"
"LICNFNHGP","LIC MF EXHNGE TRADED FUND NIFT"
"PDMJEPAPER","Pudumjee Paper Products Limite"
"HCG","HealthCare Global Enterprises"
"UMIYA","Umiya Tubes Limited"
"BHARATWIRE","Bharat Wire Ropes Limited"
"CHDCHEM","CHD Chemicals Limited"
"CCAVENUE","AvenuesAI Limited"
"LELAVOIR","LE LAVOIR LIMITED"
"BALGOPAL","Balgopal Commercial limited"
"SUPERIOR","Superior Finlease Limited"
"RPEL","RAGHAV PRODUCTIVITY ENHANCERS"
"LANCER","Lancer Container Lines Limited"
"NINSYS","NINtec Systems Limited"
"HALDER","Halder Venture Limited"
"THYROCARE","Thyrocare Technologies Limited"
"BAJAJHCARE","Bajaj Healthcare Limited"
"RSDFIN","RSD Finance Limited"
"CROMPTON","Crompton Greaves Consumer Elec"
"PILANIINVS","Pilani Investment And Industri"
"DARSHANORNA","Darshan Orna Limited"
"PARAGMILK","Parag Milk Foods Limited"
"MADHAVIPL","Madhav Infra Projects Limited"
"SPICELOUNG","SPICE LOUNGE FOOD WORKS LIMITE"
"DIDL","DALMIA INDUSTRIAL DEVELOPMENT"
"SEIL","Shanti Educational Initiatives"
"RGIL","Rotographics (India) Limited"
"MIL","Medico Intercontinental Limite"
"YASHCHEM","Yash Chemex Limited"
"NV20IETF","ICICI Prudential NV20 ETF"
"BAZELINTER","Bazel International Limited"
"TAALTECH","TAAL TECH LIMITED"
"MGL","Mahanagar Gas Limited"
"ZEAL","Zeal Aqua Limited"
"QUESS","Quess Corp Limited"
"DIGJAMLMTD","DIGJAM LIMITED"
"MIDSELIETF","ICICI Prudential BSE Midcap Se"
"TITAANIUM","Titaanium Ten Enterprise Limit"
"COMSYN","Commercial Syn Bags Limited"
"CFEL","CONFIDENCE FUTURISTIC ENERGETE"
"LLOYDSENGG","LLOYDS ENGINEERING WORKS LIMIT"
"KPL","Kwality Pharmaceuticals Limite"
"LTM","LTM LIMITED"
"EASTWEST","EAST WEST FREIGHT CARRIERS LTD"
"BSLSENETFG","Aditya Birla Sun Life BSE Sens"
"COLORCHIPS","COLORCHIPS NEW MEDIA LIMITED"
"ADVENZYMES","Advanced Enzyme Technologies L"
"LAHL","Ladam Affortable Housing Limit"
"DBL","Dilip Buildcon Limited"
"SPAL","S.P. Apparels Limited"
"BIGBLOC","Bigbloc Construction Limited"
"RBLBANK","RBL Bank Limited"
"AMS","AMS POLYMERS LIMITED"
"BLS","BLS International Services Ltd"
"MITSU","Mitsu Chem Plast Limited"
"SPRAYKING","Sprayking Limited"
"DHATRE","Dhatre Udyog Limited"
"SABEVENTS","Sab Events & Governance Now Me"
"TVVISION","TV VISION LIMITED"
"GAMCO","GAMCO LIMITED"
"LTTS","L&T Technology Services Limite"
"GNA","G N A Axles Limited"
"RADHIKAJWE","Radhika Jeweltech Limited"
"SIIL","Sabrimala Industries India Lim"
"ICICIPRULI","ICICI Prudential Life Insuranc"
"IISL","ISHAAN INFRASTRUCTURE AND SHEL"
"ARCFIN","ARC Finance Limited"
"HPL","HPL Electric & Power Limited"
"SAGARSOFT","Sagarsoft (India) Limited"
"VALIANTORG","Valiant Organics Limited"
"SHASHIJIT","Shashijit Infraprojects Limite"
"ENDURANCE","Endurance Technologies Limited"
"PURPLE","PURPLE AGROTECH INDUSTRIES LIM"
"SUPRAPFSL","Supra Pacific Financial Servic"
"PNBHOUSING","PNB Housing Finance Limited"
"SOUTHERNIN","SOUTHERN INFOCONSULTANTS LIMIT"
"REGENCY","REGENCY FINCORP LIMITED"
"VBL","Varun Beverages Limited"
"SALEM","Salem Erode Investments Ltd."
"UPROTECH","Unipro Technologies Limited"
"FRANKLININD","Franklin Industries Limited"
"LKPSEC","LKP Securities Limited"
"OSIAJEE","OSIAJEE TEXFAB LIMITED"
"CMBL","Corporate Merchant Bankers Lim"
"SFL","Sheela Foam Limited"
"EIKO","EIKO LIFESCIENCES LIMITED"
"AVL","Aditya Vision Limited"
"HEADSUP","Heads UP Ventures Limited"
"TCIEXP","TCI Express Limited"
"LAURUSLABS","Laurus Labs Limited"
"NEWLIGHT","NEW LIGHT INDUSTRIES LIMITED"
"VSL","Viram Suvarn Limited"
"MTPL","MARG TECHNO PROJECTS LIMITED"
"SHANGAR","SHANGAR DECOR LIMITED"
"GLCL","Globe Commercials Limited"
"TRU","TruCap Finance Limited"
"PRICOLLTD","Pricol Limited"
"JITFINFRA","JITF INFRALOGISTICS LIMITED"
"RMC","RMC SWITCHGEARS LIMITED"
"PARMAX","Parmax Pharma Limited"
"LLFICL","LEADING LEASING FINANCE AND IN"
"DANUBE","DANUBE INDUSTRIES LIMITED"
"RADIOCITY","Music Broadcast Limited"
"DMART","Avenue Supermarts Limited"
"IFL","IFL ENTERPRISES LIMITED"
"ONTIC","Ontic Finserve Limited"
"SMLT","Sarthak Metals Limited"
"CHEMCRUX","Chemcrux Enterprises Limited"
"MANOMAY","Manomay Tex India Limited"
"MAXIMUS","Maximus International Limited"
"CLEDUCATE","CL Educate Limited"
"PRIMEFRESH","PRIME FRESH LIMITED"
"OCEANIC","Oceanic Foods Limited"
"SHANKARA","Shankara Building Products Lim"
"ESCORP","Escorp Asset Management Limite"
"PARMSILK","PARMESHWARI SILK MILLS LIMITED"
"CLFL","Classic Leasing & Finance Ltd."
"STARLENT","STARLINEPS ENTERPRISES LIMITED"
"SCHAND","S Chand And Company Limited"
"MEERA","Meera Industries Limited"
"IRBINVIT","IRB InvIT Fund"
"HUDCO","Housing &Urban Development Cor"
"PSPPROJECT","PSP Projects Limited"
"GKL","GURU KRUPA GEMS AND JEWELLERY"
"YUG","Yug Decor Limited"
"INDIGRID","IndiGrid Infrastructure Trust"
"VARIMAN","VARIMAN GLOBAL ENTERPRISES LIM"
"STARCEMENT","Star Cement Limited"
"RIDDHICORP","Riddhi Corporate Services Limi"
"TEJASNET","Tejas Networks Limited"
"ERIS","Eris Lifesciences Limited"
"CONTAINER","Containerway International Lim"
"GTPL","GTPL Hathway Limited"
"AUBANK","AU Small Finance Bank Limited"
"LOWVOLIETF","ICICI Prudential Nifty Low Vol"
"GEL","Gautam Exim Limited"
"GGENG","G G Engineering Limited"
"7NR","7NR Retail Limited"
"SALASAR","Salasar Techno Engineering Lim"
"GANGESSECU","Ganges Securities Ltd."
"PALASHSECU","Palash Securities Limited"
"AVADHSUGAR","AVADH SUGAR & ENERGY LIMITED"
"MAGADSUGAR","Magadh Sugar & Energy Limited"
"GSTL","GlobalSpace Technologies Limit"
"NEXT50BETA","UTI Mutual Fund"
"SIS","SIS LIMITED"
"COCHINSHIP","Cochin Shipyard Limited"
"HALEOSLABS","HALEOS LABS LIMITED"
"KIOCL","KIOCL Limited"
"SMRUTHIORG","Smruthi Organics Limited"
"ABCAPITAL","Aditya Birla Capital Ltd"
"APEX","Apex Frozen Foods Limited"
"SHISHIND","Shish Industries Limited"
"ANG","ANG Lifesciences India Limited"
"KCDGROUP","KCD INDUSTRIES INDIA LIMITED"
"DIXON","Dixon Technologies (India) Lim"
"BRNL","Bharat Road Network Limited"
"DCAL","Dishman Carbogen Amcis Limited"
"LASA","Lasa Supergenerics Limited"
"PROCLB","PRO CLB GLOBAL LIMITED"
"MATRIMONY","Matrimony.com Limited"
"RHFL","Reliance Home Finance Limited"
"CAPACITE","Capacit'e Infraprojects Limite"
"ICICIGI","ICICI Lombard General Insuranc"
"PQIF","Polo Queen Industrial and Fint"
"AAYUSHBULL","AAYUSH ART AND BULLION LIMITED"
"SBILIFE","SBI Life Insurance Company Lim"
"DIAMONDYD","Prataap Snacks Limited"
"SHAREINDIA","Share India Securities Limited"
"TTFL","Trident Texofab Limited"
"POOJA","Poojawestern Metaliks Limited"
"SAYAJIIND","Sayaji Industries Limited"
"VANTABIO","Vanta Bioscience Limited"
"MEHAI","Mehai Technology  Limited"
"IRIS","IRIS RegTech Solutions Limited"
"SGRL","Shree Ganesh Remedies Limited"
"STL","Shreeji Translogistics Limited"
"GODREJAGRO","Godrej Agrovet Limited"
"MASFIN","MAS Financial Services Limited"
"IEX","Indian Energy Exchange Limited"
"GICRE","General Insurance Corporation"
"SCPL","SHEETAL COOL PRODUCTS LIMITED"
"TIINDIA","Tube Investments of India Ltd"
"NAM-INDIA","NIPPON LIFE INDIA ASSET MANAGE"
"MAHLOG","Mahindra Logistics Limited"
"NIACL","The New India Assurance Compan"
"IFGLEXPOR","IFGL Refractories Limited"
"KHADIM","Khadim India Limited"
"5PAISA","5paisa Capital Limited"
"HDFCLIFE","HDFC LIFE INSURANCE COMPANY LI"
"SHARIKA","SHARIKA ENTERPRISES LIMITED"
"ICICIB22","ICICI Prudential Mutual Fund"
"ASPIRA","Aspira Pathlab & Diagnostics L"
"DNAMEDIA","Diligent Media Corporation Lim"
"DYCL","Dynamic Cables Limited"
"RATNABHUMI","Ratnabhumi Developers Limited"
"SHALBY","Shalby Limited"
"MRCAGRO","MRC AGROTECH LIMITED"
"CRYSTAL","CRYSTAL BUSINESS SYSTEM LIMITE"
"ASTRON","Astron Paper & Board Mill Limi"
"CHANDRIMA","Chandrima Mercantiles limited"
"JFL","Jhandewalas Foods Limited"
"7SEASL","7SEAS ENTERTAINMENT LIMITED"
"APOLLO","Apollo Micro Systems Limited"
"NEWGEN","Newgen Software Technologies L"
"PRAXIS","Praxis Home Retail Limited"
"AMBER","Amber Enterprises India Limite"
"TIRUFOAM","TIRUPATI FOAM LIMITED"
"SRUSTEELS","SRU Steels Limited"
"ASHOKAMET","Ashoka Metcast Limited"
"GALAXYSURF","Galaxy Surfactants Limited"
"GGL","Gautam Gems Limited"
"MEDICO","MEDICO REMEDIES LIMITED"
"LAL","LORENZINI APPARELS LIMITED"
"KENVI","Kenvi Jewels Limited"
"IWP","The Indian Wood Products Co. L"
"TDSL","Tasty Dairy Specialities Limit"
"BHATIA","Bhatia Communications & Retail"
"SHIVAMILLS","Shiva Mills Limited"
"ASTERDM","Aster DM Healthcare Limited"
"KANCOTEA","KANCO TEA & INDUSTRIES LIMITED"
"HGINFRA","H.G. Infra Engineering Limited"
"INFLAME","Inflame Appliances Limited"
"BPLPHARMA","Bharat Parenterals Limited"
"LIQUIDETF","DSP BlackRock Mutual Fund"
"BDL","Bharat Dynamics Limited"
"ACTIVE","Active Clothing Co  Limited"
"GOYALALUM","GOYAL ALUMINIUMS LIMITED"
"BANDHANBNK","Bandhan Bank Limited"
"HAL","Hindustan Aeronautics Limited"
"DHARAN","DHARAN INFRA-EPC LIMITED"
"SANDHAR","Sandhar Technologies Limited"
"YASHO","YASHO INDUSTRIES LIMITED"
"MIDHANI","Mishra Dhatu Nigam Limited"
"OBCL","Orissa Bengal Carrier Limited"
"TRL","Taylormade Renewables Limited"
"LEMONTREE","Lemon Tree Hotels Limited"
"CHEMFAB","Chemfab Alkalis Ltd"
"HARDWYN","HARDWYN INDIA LIMITED"
"DLCL","DR LALCHANDANI LABS LIMITED"
"ORIENTELEC","Orient Electric Limited"
"DHRUV","Dhruv Consultancy Services Lim"
"AKSHAR","Akshar Spintex Limited"
"INDOUS","Indo US Bio-Tech Limited"
"BSE500IETF","ICICI Prudential BSE 500 ETF"
"INDOSTAR","IndoStar Capital Finance Limit"
"UHZAVERI","U. H. ZAVERI LIMITED"
"PARVATI","Parvati Sweetners and Power Lt"
"MEGASTAR","Megastar Foods Limited"
"INNOVATORS","Innovators Facade Systems Limi"
"UCIL","UNIFINZ CAPITAL INDIA LIMITED"
"ZIMLAB","ZIM Laboratories Limited"
"AFFORDABLE","Affordable Robotic & Automatio"
"DOLLAR","Dollar Industries Limited"
"NGIL","NAKODA GROUP OF INDUSTRIES LIM"
"PALMJEWELS","Palm Jewels Limited"
"WAA","Waa Solar Limited"
"ADANIGREEN","Adani Green Energy Limited"
"SOLARA","SOLARA ACTIVE PHARMA SCIENCES"
"GAYAHWS","GAYATRI HIGHWAYS LTD"
"RITES","RITES Limited"
"FINEORG","Fine Organic Industries Limite"
"VARROC","Varroc Engineering Limited"
"RAJNISH","Rajnish Wellness Limited"
"GUJWIND","Gujarat Winding Systems Limite"
"RAWEDGE","Raw Edge Industrial Solutions"
"ASHNI","Ashnisha Industries Limited"
"HDFCAMC","HDFC Asset Management Company"
"VIVANTA","Vivanta Industries Limited"
"FRATELLI","Fratelli Vineyards Limited"
"CREDITACC","CreditAccess Grameen Ltd."
"AMINTAN","AMIN TANNERY LIMITED"
"DEEP","Deep Polymers Limited"
"NEXT50IETF","ICICI Prudential Mutual Fund"
"ASRL","Add-Shop E-Retail Limited"
"SPACEINCUBA","Space Incubatrics Technologies"
"SGIL","Synergy Green Industries Limit"
"LIQUIDIETF","ICICI Prudential BSE Liquid Ra"
"IRCON","IRCON International Ltd"
"SKYGOLD","Sky Gold And Diamonds Limited"
"SETFSN50","SBI Mutual Fund"
"MANORAMA","Manorama Industries Limited"
"AAVAS","AAVAS Financiers Limited"
"GRSE","Garden Reach Shipbuilders & En"
"A1L","A-1 LIMITED"
"DOLFIN","Dolfin Rubbers Limited"
"SHUBHAM","Shubham Polyspin Limited"
"AKI","AKI India Limited"
"SUNRETAIL","Sun Retail Limited"
"SMGOLD","S. M. Gold Limited"
"VIVIDM","VIVID MERCANTILE LIMITED"
"BCPL","BCPL Railway Infrastructure Li"
"ATGL","ADANI TOTAL GAS LIMITED"
"PHOSPHATE","The Phosphate Company Limited"
"NIFTYETF","Mirae Asset Mutual Fund"
"TECHNOE","Techno Electric & Engineering"
"DGL","Diksha Greens Limited"
"ARYAN","Aryan Share & Stock Brokers Lt"
"NIVAKA","NIVAKA FASHIONS LIMITED"
"DALBHARAT","DALMIA BHARAT LIMITED"
"ABSLNN50ET","Aditya Birla Sun Life Mutual F"
"NILASPACES","Nila Spaces Ltd"
"SRD","Shankar Lal Rampal Dye-Chem Li"
"TREJHARA","Trejhara Solutions Limited"
"DECCAN","Deccan Health Care Limited"
"AXITA","Axita Cotton Limited"
"KPIGREEN","KPI Green Energy Limited"
"HIKLASS","Hi-Klass Trading and Investmen"
"RPSGVENT","RPSG VENTURES LIMITED"
"SPENCERS","Spencer's Retail Limited"
"GLOSTERLTD","Gloster Ltd"
"XELPMOC","Xelpmoc Design and Tech Limite"
"SPACAPS","SPA Capital Services Limited"
"RITCO","Ritco Logistics Limited"
"CHALET","Chalet Hotels Limited"
"ANMOL","Anmol India Limited"
"JONJUA","Jonjua Overseas Limited"
"KRANTI","Kranti Industries Limited"
"ANUP","The Anup Engineering Ltd"
"ARVINDFASN","Arvind Fashions Limited"
"SNXT50BETA","UTI BSE  Sensex Next 50 ETF"
"ENERGYINF","Energy Infrastructure Trust"
